Last Week Tonight with John Oliver Presents a Day in the Life of Marlon Bundo;Jill Twiss;4,982
True Roots: A Mindful Kitchen with More Than 100 Recipes Free of Gluten, Dairy, and Refined Sugar;Kristin Cavallari;23
The Confidence Code for Girls: Taking Risks, Messing Up, and Becoming Your Amazingly Imperfect, Totally Powerful Self;Katty Kay;6
12 Rules for Life: An Antidote to Chaos;Jordan B. Peterson;1,810
Ready Player One: A Novel;Ernest Cline;16,690
Factfulness: Ten Reasons We're Wrong About the World--and Why Things Are Better Than You Think;Hans Rosling;2
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life;Mark Manson;3,329
The Rational Bible: Exodus;Dennis Prager;39
Magnolia Table: A Collection of Recipes for Gathering;Joanna Gaines;Not available
The 5 Love Languages: The Secret to Love that Lasts;Gary Chapman;12,666
Girl, Wash Your Face: Stop Believing the Lies About Who You Are so You Can Become Who You Were Meant to Be;Rachel Hollis;1,191
A Higher Loyalty: Truth, Lies, and Leadership;James Comey;Not available
I'll Be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer;Michelle McNamara;216
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life;Jen Sincero;3,391
Little Fires Everywhere;Celeste Ng;2,202
Killing the Deep State: The Fight to Save President Trump;Jerome R. Corsi;437
The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle;Amy Ramos;708
First 100 Words;Roger Priddy;7,826
Does It Fart?: The Definitive Field Guide to Animal Flatulence;Nick Caruso;6
The Very Hungry Caterpillar;Eric Carle;3,404
How to Win Friends & Influence People;Dale Carnegie;6,935
Unified: How Our Unlikely Friendship Gives Us Hope for a Divided Country;Tim Scott;8
Giraffes Can't Dance;Giles Andreae;3,839
A Wrinkle in Time (Time Quintet);Madeleine L'Engle;2,984
Player's Handbook (Dungeons & Dragons);Wizards RPG Team;2,528
Goodnight Moon;Margaret Wise Brown;3,106
The Whole30: The 30-Day Guide to Total Health and Food Freedom;Melissa Hartwig;3,208
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book);Don Miguel Ruiz;6,852
The Wonderful Things You Will Be;Emily Winfield Martin;1,454
Tiger Woods;Jeff Benedict;28
50 Ways to Get a Job: An Unconventional Guide to Finding Work on Your Terms;Dev Aujla;25
Milk and Honey;Rupi Kaur;5,396
Dear Zoo: A Lift-the-Flap Book;Rod Campbell;2,555
Strength in Stillness: The Power of Transcendental Meditation;Bob Roth;191
